años,primn,primf,range,urban,secdn,c3ann,c4ann,c3per,c4per,c3nfx,pastr
1895,0.85706436,0.029557642,0.000112078,0.097065736,5.37E-06,0.003230354,5.00E-05,8.21E-05,2.80E-05,0.000320857,0.000676083
1910,0.794055954,0.028018796,0.000175454,0.157240267,1.32E-05,0.006307859,0.000123301,0.000135275,6.85E-05,0.000624551,0.001279677
1925,0.708722454,0.025888853,0.000237969,0.237000828,2.23E-05,0.011820557,0.000247918,0.000206076,0.000137918,0.001201859,0.002287394
1940,0.611581328,0.023408783,0.000298369,0.327175212,3.48E-05,0.018682696,0.000403778,0.000278407,0.000218943,0.001952546,0.003368384
1955,0.495402682,0.019754858,0.000402304,0.431149832,0.000499182,0.02978139,0.000640295,0.000392694,0.000334276,0.003203709,0.005458606
1970,0.426258011,0.016381369,0.000609136,0.478590686,0.001250488,0.048469429,0.001013726,0.00058823,0.000503851,0.005291596,0.007466939
1985,0.422673949,0.015251671,0.000112078,0.4705306,0.005305816,0.054641644,0.001132915,0.000646884,0.000540828,0.005977549,0.007431063
2000,0.421971691,0.013908056,0.001023477,0.457559578,0.015701795,0.05696924,0.001174706,0.000663736,0.000547969,0.006232997,0.006855795
2015,0.414781148,0.011829995,0.001363365,0.419716074,0.058430375,0.058098987,0.001193258,0.000669679,0.000546889,0.006357055,0.006025473
