"años","primn","primf","range","urban","secdn","c3ann","c4ann","c3per","c4per","c3nfx","pastr"
1895,0.00328946635951679,0.094186731,0.00374198070750853,0.00638065243663613,0.0914027357317257,0.300189833477897,0.0799060961314443,0.0212216981524152,0.000100820300268572,0.0252459673591847,0.262027928177666
1910,0.00328089790601904,0.094169624,0.00410198822701703,0.0057912956055732,0.105885063211453,0.28724569173712,0.0762965016490642,0.0201768550857268,0.000102943434925453,0.0240531459551778,0.251820531919999
1925,0.00327480809894268,0.094152377,0.00412115676682413,0.00504111695859546,0.144519441194963,0.256728028623026,0.0683321995918329,0.0183382079136463,0.000105207650591992,0.0215138796836396,0.22875969097094
1940,0.00325235912934862,0.094121745,0.00436606362497971,0.00517768720309172,0.160632123490181,0.247203794345967,0.0656971557334513,0.0176233808785389,0.000117313414093666,0.0206962931445129,0.216005225637404
1955,0.00321750587194736,0.094072486,0.00488261153152357,0.00522406297662312,0.168117688676265,0.24430510318599,0.0646625685345321,0.0171933440856616,0.000147033266612915,0.0204065483686541,0.206198227631859
1970,0.00319071992393483,0.093996459,0.00687511692161442,0.00511302869315605,0.183862261892186,0.22330218791193,0.0587816872553494,0.0156715723720612,0.000178883702853969,0.0185854012868795,0.212766385741661
1985,0.0031797497592176,0.09381099,0.00374198070750853,0.00461565634379524,0.199487306796948,0.219532121950451,0.0577891339692857,0.015415255595747,0.000166166885376396,0.0182667504062468,0.195159168536129
2000,0.0029874618363767,0.093577034,0.00903876588741427,0.00423693807103301,0.212702457690039,0.2259403246311,0.0594562012433812,0.0158675188793835,0.00013289236310741,0.0187901418680751,0.166351396339616
2015,0.00297883693514975,0.093411153,0.0114833320350227,0.00381850391212812,0.227543557028643,0.222003264110147,0.0584230316205086,0.0155844451521769,0.000111149902524337,0.0184596968610524,0.149320728135346
